Added by Katie,ImportRange formula in cell B3,,,,,Added by Katie,,,,,,,,,0,0,0
,,,,,,,,PRODUCT MATERIAL & COMPONENT VALUES,,,Packaging only,,,,RESULTS FOR CHARTS,,
Category Assigned for selection list,Material category,Material name,Impact value (multiply),Impact value (add),Impact unit,Auto-list taken from column E,,Density value,Density unit,Unit weight (g),Manufacturing Process,,,,Baseline *Please Make a Copy Before Editing*,*Design 01*,*Design 02*
Metals,Metal - Steel,"95% PCR SGCC  [Stamping, Bending]",0.001680, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,"95% PCR SGCC  [Stamping, Bending]",,,,
Metals,Metal - Steel,Screw/ Spring Part,0.002282, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,Screw/ Spring Part,,,,
Metals,Metal - Steel,SECC  [Deep Drawing],0.004840, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,SECC  [Deep Drawing],,,,
Metals,Metal - Steel,"SECC  [Stamping, Bending]",0.003920, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,"SECC  [Stamping, Bending]",,,,
Metals,Metal - Steel,SECC  [Turning],0.004480, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,SECC  [Turning],,,,
Metals,Metal - Steel,SGCC  [Deep Drawing],0.004915, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,SGCC  [Deep Drawing],,,,
Metals,Metal - Steel,"SGCC  [Stamping, Bending] [BOF]",0.003520, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,"SGCC  [Stamping, Bending] [BOF]",,,,
Metals,Metal - Steel,SGCC  [Turning],0.004555, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,SGCC  [Turning],,,,
Metals,Metal - Steel,SGLCC  [Deep Drawing],0.005183, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,SGLCC  [Deep Drawing],,,,
Metals,Metal - Steel,"SGLCC  [Stamping, Bending]",0.003680, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,"SGLCC  [Stamping, Bending]",,,,
Metals,Metal - Steel,SGLCC  [Turning],0.004823, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,SGLCC  [Turning],,,,
Metals,Metal - Steel,SPCC  [Deep Drawing],0.004581, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,SPCC  [Deep Drawing],,,,
